model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,51.210,51.210,0.9606,0.3615,0.0293,0.811
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,59.051,120.949,0.9338,0.5596,0.1751,1.033
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,43.995,136.005,0.9500,0.7624,0.0673,0.592
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,57.784,122.216,0.9492,0.8747,0.1980,1.101
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,21.586,21.586,0.9447,0.6371,0.0890,0.453
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,75.311,75.311,0.9531,0.8542,0.3619,0.903
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,70.768,70.768,0.9538,0.8657,0.0997,0.334
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,54.869,125.131,0.9462,0.5813,0.1144,1.904
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,43.456,43.456,0.9446,0.8808,0.1096,0.541
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,18.592,161.408,0.9509,0.6960,0.0930,0.595
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,34.543,34.543,0.9510,0.6259,0.0936,0.829
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,5.992,5.992,0.9518,1.1527,0.0943,0.949
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,59.876,120.124,0.9481,0.8885,0.2932,1.604
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,87.946,92.054,0.9542,0.8249,0.0482,1.151
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,59.568,59.568,0.9436,0.5690,0.0214,0.172
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,45.658,134.342,0.9506,1.2041,0.2650,1.399
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,32.894,32.894,0.9435,2.1629,0.2385,1.183
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,60.081,119.919,0.9458,1.0066,0.2541,1.418
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,5.912,5.912,0.9517,1.1057,0.0928,0.749
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,44.550,135.450,0.9582,1.4046,0.3368,1.377
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,4.181,4.181,0.9443,1.4281,0.0408,0.363
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,9.339,9.339,0.9467,3.3018,0.0332,0.347
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,43.398,136.602,0.9456,0.7404,0.0723,0.876
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,6.108,6.108,0.9509,1.0521,0.0885,1.085
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,49.821,130.179,0.9506,1.1292,0.2603,1.052
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,64.065,64.065,0.9459,0.5295,0.0157,1.626
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,85.981,94.019,0.9476,0.5166,0.1858,1.392
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,43.998,43.998,0.9361,0.3534,0.0273,1.531
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,68.790,111.210,0.9506,0.5885,0.2291,1.305
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,49.373,130.627,0.9389,0.5027,0.0746,1.096
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,77.502,77.502,0.9365,0.8099,0.0467,1.422
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,57.641,122.359,0.9465,0.6914,0.1157,1.108
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,23.752,23.752,0.9507,0.1482,0.1056,1.457
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,83.866,96.134,0.9520,0.5815,0.1275,1.158
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,61.372,61.372,0.9424,0.3734,0.0640,1.568
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,71.196,108.804,0.9517,0.5275,0.2058,1.304
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,37.739,37.739,0.9326,0.3051,0.0041,1.451
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,76.893,103.107,0.9470,0.5435,0.2239,1.321
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,66.970,66.970,0.8955,0.1395,0.0878,1.271
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,48.811,48.811,0.9260,0.3970,0.0167,0.880
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,32.706,32.706,0.9362,0.1477,0.0403,1.430
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,25.893,25.893,0.9433,0.1480,0.2155,1.054
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,52.359,52.359,0.8775,0.5859,0.0364,1.623
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,88.942,91.058,0.9338,0.5630,0.1600,1.265
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,59.643,120.357,0.9372,0.5541,0.1116,1.187
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,79.054,79.054,0.9126,0.5790,0.0517,1.598
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,69.275,110.725,0.9517,0.4481,0.1772,1.264
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,65.817,65.817,0.9387,0.4511,0.0359,1.531
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,85.306,94.694,0.9513,0.6056,0.1265,1.202
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,67.906,67.906,0.9463,0.3587,0.0755,1.515
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,48.930,131.070,0.9435,0.6647,0.1976,1.247
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,77.228,77.228,0.9489,0.4863,0.0517,1.349
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,54.438,125.562,0.9291,0.7404,0.2197,1.316
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,3.335,3.335,0.9481,0.2162,0.0874,1.416
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,52.499,52.499,0.9367,0.5380,0.0638,0.837
20260913_joint4_decoder_l2anchor_dense_seed7,microwave/microwave,47.198,132.802,0.9472,0.7624,0.0829,1.213
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,55.817,55.817,0.9560,0.3598,0.0463,0.575
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,10.718,169.282,0.9528,0.8595,0.3698,1.108
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,46.735,46.735,0.9442,0.2657,0.1200,0.548
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,47.275,132.725,0.9500,0.7456,0.2456,1.034
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,69.388,110.612,0.9507,0.3614,0.0721,0.683
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,30.738,149.262,0.9503,0.1576,0.2215,0.277
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,28.348,28.348,0.9496,0.2478,0.0586,0.630
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,74.597,74.597,0.9520,0.3422,0.0220,0.599
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,38.574,141.426,0.9575,0.9619,0.2328,0.714
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,49.293,49.293,0.9529,0.3920,0.1361,0.977
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,88.763,88.763,0.9541,0.0258,0.1527,0.548
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,45.487,134.513,0.9529,0.7484,0.3389,1.168
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,24.527,155.473,0.9544,0.7832,0.4036,1.106
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,28.242,28.242,0.9515,0.5175,0.0242,0.893
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,2.030,177.970,0.9585,0.8670,0.3675,1.240
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,74.441,74.441,0.9464,0.3116,0.1106,0.586
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,81.899,98.101,0.9598,1.1708,0.3172,0.646
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,80.152,80.152,0.9501,0.4123,0.0004,0.226
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,49.402,49.402,0.9525,0.5396,0.2455,0.647
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,80.540,80.540,0.9394,0.6194,0.0826,0.646
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,39.546,39.546,0.9491,0.5079,0.3384,0.798
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,40.702,40.702,0.9563,0.6055,0.2212,0.425
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,49.244,130.756,0.9485,0.3961,0.1224,1.358
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,72.753,72.753,0.9504,0.3818,0.0912,0.703
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,70.607,109.393,0.9557,1.0900,0.2607,0.514
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,67.634,67.634,0.9441,0.6854,0.1537,0.368
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,59.671,120.329,0.9528,0.3397,0.0375,1.561
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,63.640,116.360,0.9461,0.4574,0.0891,0.582
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,46.853,133.147,0.9540,0.4229,0.1355,1.552
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,85.929,85.929,0.9460,0.4983,0.0652,0.570
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,36.015,143.985,0.9501,0.8005,0.1875,0.484
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,57.303,57.303,0.9467,0.5935,0.0381,0.516
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,58.917,121.083,0.9574,0.7644,0.2408,0.991
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,55.652,124.348,0.9537,0.6942,0.1285,0.725
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,61.656,61.656,0.9453,0.6521,0.0818,1.112
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,82.708,82.708,0.9474,2.3728,0.0028,3.029
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,60.907,60.907,0.9451,1.0037,0.0541,0.262
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,75.552,75.552,0.9518,1.6390,0.0134,2.526
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,62.004,62.004,0.9364,0.6325,0.0778,1.126
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,77.388,77.388,0.9348,2.1982,0.1964,2.428
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,62.751,62.751,0.9458,0.7775,0.0783,1.182
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,73.285,73.285,0.9407,2.3991,0.1162,2.794
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,63.093,63.093,0.9393,0.6196,0.0672,1.305
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,76.422,76.422,0.9178,2.5776,0.1686,2.831
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,59.412,59.412,0.9438,1.2769,0.0886,0.450
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,87.354,87.354,0.9403,2.2757,0.0065,3.043
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,60.033,60.033,0.9432,1.2276,0.1052,0.931
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,84.550,84.550,0.9494,2.2060,0.0230,3.012
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,61.350,61.350,0.9368,0.3363,0.1356,1.098
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,68.270,68.270,0.9429,2.0126,0.0562,3.131
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,57.763,57.763,0.9481,1.0179,0.0705,0.759
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,87.841,87.841,0.9330,2.4245,0.0305,3.178
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,57.814,57.814,0.9498,0.6301,0.1047,1.061
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,87.075,87.075,0.9407,2.2268,0.0266,3.037
20260913_joint4_decoder_l2anchor_dense_seed7,espressomachine/espressomachine,59.060,59.060,0.9490,1.0640,0.1054,0.251
