model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,microwave/microwave,47.115,47.115,0.6461,0.6400,0.3582,0.733,close,0.5864
depth,microwave/microwave,42.113,42.113,0.9431,0.8219,0.0380,0.446,close,0.3805
depth,notebook/notebook,60.690,119.310,0.9445,0.3381,0.1261,0.763,open,0.3684
depth,notebook/notebook,42.047,42.047,0.9470,0.7880,0.3401,0.602,close,0.7601
depth,notebook/notebook,65.295,114.705,0.9530,1.0441,0.0700,1.323,open,0.5739
depth,notebook/notebook,42.748,42.748,0.9459,0.6476,0.3073,0.560,close,0.8536
depth,notebook/notebook,53.031,126.969,0.9530,0.6237,0.0906,1.250,open,0.2413
depth,notebook/notebook,51.267,51.267,0.9533,0.4691,0.3483,0.501,close,0.2383
depth,notebook/notebook,80.916,80.916,0.9465,0.5865,0.0541,0.911,open,0.2859
depth,notebook/notebook,10.622,169.378,0.9501,0.4089,0.1555,0.974,open,0.1846
depth,notebook/notebook,48.896,48.896,0.9538,0.7294,0.2079,0.348,close,0.5526
depth,notebook/notebook,46.293,133.707,0.9515,0.8656,0.0654,1.277,open,0.2750
depth,notebook/notebook,40.069,139.931,0.9448,0.1673,0.1576,0.419,open,0.2826
depth,notebook/notebook,17.995,17.995,0.9533,0.3389,0.3399,0.638,close,0.3644
depth,notebook/notebook,8.397,8.397,0.9566,0.3420,0.3483,0.628,close,0.3483
depth,notebook/notebook,44.833,44.833,0.9404,0.2526,0.1300,1.290,open,0.1817
depth,notebook/notebook,31.507,31.507,0.9546,0.5935,0.3562,0.518,close,0.3958
depth,notebook/notebook,56.588,123.412,0.9490,1.1160,0.0926,1.416,open,0.8103
depth,phone/phone,78.553,78.553,0.9536,1.1086,0.2506,0.802,close,0.4729
depth,phone/phone,53.237,53.237,0.9405,1.1451,0.0012,0.272,open,0.4787
depth,phone/phone,61.245,118.755,0.9555,1.2084,0.4227,0.551,close,0.7227
depth,phone/phone,34.355,34.355,0.9452,0.8437,0.1443,0.624,open,0.1906
depth,phone/phone,59.317,120.683,0.9435,0.3761,0.2253,0.812,close,0.5269
depth,phone/phone,59.298,59.298,0.9391,1.4709,0.2229,0.277,open,0.2621
depth,phone/phone,40.672,40.672,0.9486,0.7416,0.0120,0.865,close,0.4041
depth,phone/phone,73.311,73.311,0.9450,0.7708,0.0666,0.334,open,0.6751
depth,phone/phone,68.502,68.502,0.9519,1.2113,0.2295,0.725,close,0.4788
depth,phone/phone,81.657,81.657,0.9324,1.2588,0.2249,0.300,open,0.1900
depth,phone/phone,42.489,42.489,0.9488,0.3161,0.0250,2.023,close,0.0139
depth,phone/phone,58.393,58.393,0.9453,1.3037,0.1289,0.134,open,0.1503
depth,phone/phone,28.206,28.206,0.9526,0.2075,0.1175,2.211,close,0.0893
depth,phone/phone,77.346,77.346,0.9411,0.4586,0.0853,0.807,open,0.3408
depth,phone/phone,35.379,35.379,0.9529,1.2436,0.1518,0.392,close,0.8067
depth,phone/phone,70.113,70.113,0.9464,0.5167,0.1191,0.566,open,0.4530
depth,phone/phone,58.764,58.764,0.9548,0.4374,0.0177,1.191,close,0.2608
depth,phone/phone,56.726,56.726,0.9387,1.0366,0.1085,0.600,open,0.1703
depth,espressomachine/espressomachine,54.146,54.146,0.9522,1.8617,0.0204,1.072,open,0.0955
depth,espressomachine/espressomachine,52.494,127.506,0.9516,3.5079,0.2102,4.459,close,1.8515
depth,espressomachine/espressomachine,58.902,58.902,0.9523,2.4594,0.0231,0.160,open,0.1738
depth,espressomachine/espressomachine,61.921,118.079,0.9532,3.6737,0.1974,4.250,close,2.5422
depth,espressomachine/espressomachine,54.262,54.262,0.9488,2.5554,0.0210,0.140,open,0.2062
depth,espressomachine/espressomachine,45.647,134.353,0.9456,3.5257,0.3352,4.569,close,1.5628
depth,espressomachine/espressomachine,66.034,66.034,0.9489,2.0097,0.0187,0.977,open,0.0485
depth,espressomachine/espressomachine,68.637,111.363,0.9450,4.0964,0.2594,4.467,close,2.6207
depth,espressomachine/espressomachine,65.533,65.533,0.9427,1.2245,0.0504,1.870,open,0.1580
depth,espressomachine/espressomachine,66.234,113.766,0.9485,4.3710,0.2480,4.719,close,2.8710
depth,espressomachine/espressomachine,65.486,65.486,0.9541,2.4449,0.0249,0.595,open,0.0443
depth,espressomachine/espressomachine,57.946,122.054,0.9540,3.9174,0.2132,4.661,close,2.2631
depth,espressomachine/espressomachine,58.574,58.574,0.9515,0.7643,0.0206,2.165,open,0.1972
depth,espressomachine/espressomachine,65.018,114.982,0.9475,4.1342,0.1998,4.578,close,3.1186
depth,espressomachine/espressomachine,76.711,76.711,0.9475,0.9034,0.0652,1.862,open,0.2908
depth,espressomachine/espressomachine,48.040,131.960,0.9536,2.8936,0.1779,4.176,close,1.3036
depth,espressomachine/espressomachine,61.286,61.286,0.9541,1.9780,0.0246,1.118,open,0.0726
depth,espressomachine/espressomachine,51.852,128.148,0.9467,3.4242,0.1572,4.472,close,1.6187
depth,espressomachine/espressomachine,69.973,69.973,0.9540,1.3125,0.0060,1.926,open,0.2317
depth,espressomachine/espressomachine,67.454,112.546,0.9505,4.0227,0.1858,4.523,close,2.1067
depth,espressomachine/espressomachine,54.256,54.256,0.9569,1.5920,0.0058,1.514,open,0.0391
depth,espressomachine/espressomachine,58.832,121.168,0.9449,3.7522,0.1609,4.632,close,2.0834
depth,espressomachine/espressomachine,59.997,59.997,0.9482,1.8398,0.0027,0.863,open,0.0338
depth,espressomachine/espressomachine,62.399,117.601,0.9535,4.0831,0.2124,4.640,close,2.4191
